layerSize,device,timestamp,value
8,1,8378.6,4226.6845703125
8,1,8397.3,3831.8634033203125
8,1,8410.3,4211.42578125
8,1,8414.0,3854.7515869140625
8,1,8421.5,4180.908203125
8,1,8469.5,3866.1956787109375
8,1,8472.5,4196.1669921875
8,1,8475.1,3830.9097290039062
8,1,8487.6,4196.1669921875
8,1,8510.9,3857.6126098632812
8,1,8511.3,4211.42578125
8,1,8512.4,3844.2611694335938
8,1,8544.1,4196.1669921875
8,1,8563.9,3856.658935546875
8,1,8564.8,4196.1669921875
8,1,8572.0,3846.1685180664062
8,1,8582.0,4180.908203125
8,1,8606.4,3841.400146484375
8,1,8612.3,4211.42578125
8,1,8628.1,3862.3809814453125
8,1,8634.1,4257.2021484375
8,1,8634.7,3858.5662841796875
8,1,8643.2,4180.908203125
8,1,8645.3,3854.7515869140625
8,1,8645.8,4180.908203125
8,1,8678.6,3882.4081420898438
8,1,8685.6,4226.6845703125
8,1,8696.8,3845.21484375
8,1,8725.0,4180.908203125
8,1,8728.1,3855.7052612304688
8,1,8735.1,4226.6845703125
8,1,8741.3,3831.8634033203125
8,1,8752.9,4226.6845703125
8,1,8782.3,3826.141357421875
8,1,8795.4,4180.908203125
8,1,8804.6,3858.5662841796875
8,1,8823.1,4180.908203125
8,1,8830.3,3860.4736328125
8,1,8836.8,4180.908203125
8,1,8841.9,3855.7052612304688
8,1,8842.3,4165.6494140625
8,1,8842.9,3844.2611694335938
8,1,8851.9,4196.1669921875
8,1,8889.9,3843.3074951171875
8,1,8926.6,4196.1669921875
8,1,8928.2,3840.4464721679688
8,1,8958.9,4241.943359375
8,1,8960.5,3844.2611694335938
8,1,8969.0,4180.908203125
8,1,8970.6,3875.732421875
8,1,8973.1,4180.908203125
8,1,8979.2,3863.3346557617188
8,1,8979.6,4180.908203125
8,1,8979.7,3881.4544677734375
8,1,8994.8,4180.908203125
8,1,9009.9,3875.732421875
8,1,9011.4,4196.1669921875
8,1,9013.5,3839.4927978515625
8,1,9034.2,4226.6845703125
8,1,9040.8,3832.8170776367188
8,1,9044.3,4196.1669921875
8,1,9075.6,3833.770751953125
8,1,9082.1,4180.908203125
8,1,9083.7,3835.6781005859375
8,1,9085.7,4196.1669921875
8,1,9107.9,3850.9368896484375
8,1,9112.3,4165.6494140625
8,1,9112.4,3839.4927978515625
8,1,9124.5,4196.1669921875
8,1,9135.2,3836.6317749023438
8,1,9157.3,4196.1669921875
8,1,9164.4,3829.9560546875
8,1,9166.9,4226.6845703125
8,1,9188.7,3820.4193115234375
8,1,9194.6,4226.6845703125
8,1,9194.7,3840.4464721679688
8,1,9219.9,4180.908203125
8,1,9239.6,3870.9640502929688
8,1,9248.1,4226.6845703125
8,1,9274.0,3828.0487060546875
8,1,9280.5,4180.908203125
8,1,9310.3,3852.84423828125
8,1,9317.3,4196.1669921875
8,1,9320.4,3851.8905639648438
8,1,9322.4,4196.1669921875
8,1,9324.0,3855.7052612304688
8,1,9355.2,4196.1669921875
8,1,9361.8,3865.2420043945312
8,1,9394.0,4196.1669921875
8,1,9394.6,3847.1221923828125
8,1,9412.3,4180.908203125
8,1,9418.9,3829.9560546875
8,1,9431.5,4196.1669921875
8,1,9457.9,3842.3538208007812
8,1,9469.0,4196.1669921875
8,1,9481.8,3860.4736328125
8,1,9485.7,4226.6845703125
8,1,9508.6,3841.400146484375
8,1,9537.2,4226.6845703125
8,1,9545.4,3836.6317749023438
8,1,9546.3,4165.6494140625
8,1,9577.2,3837.58544921875
8,1,9593.3,4196.1669921875
8,1,9608.0,3821.3729858398438
8,1,9640.2,4257.2021484375
8,1,9640.8,3831.8634033203125
8,1,9645.3,4180.908203125
8,1,9654.5,3846.1685180664062
8,1,9659.9,4180.908203125
8,1,9675.1,3858.5662841796875
8,1,9689.7,4272.4609375
8,1,9692.3,3829.9560546875
8,1,9699.3,4196.1669921875
8,1,9706.0,3876.6860961914062
8,1,9724.5,4196.1669921875
8,1,9725.6,3839.4927978515625
8,1,9753.8,4165.6494140625
8,1,9753.9,3845.21484375
8,1,9766.3,4241.943359375
8,1,9787.2,3845.21484375
8,1,9804.9,4180.908203125
8,1,9834.3,3846.1685180664062
8,1,9843.3,4196.1669921875
8,1,9877.2,3832.8170776367188
8,1,9895.7,4241.943359375
8,1,9913.5,3843.3074951171875
8,1,9961.9,4196.1669921875
8,1,9963.0,3846.1685180664062
8,1,9984.1,4196.1669921875
8,1,10026.6,3839.4927978515625
8,1,10030.0,4165.6494140625
8,1,10044.2,3865.2420043945312
