DR,timestamp,threshold,event,device,nb_ED,seed,objSize,distance,fport,policy
ALL,372.427008010,2000,TX,0110110|0000000000000011101001000,4,1,2000,0,28,FASTEST
ALL,382.550912010,2000,TX,0110110|0000000000000011101001010,4,1,2000,0,28,FASTEST
ALL,387.344576010,2000,TX,0110110|0000000000000011101001011,4,1,2000,0,28,FASTEST
ALL,432.427008010,2000,TX,0110110|0000000000000011101001000,4,1,2000,0,28,FASTEST
ALL,442.550912010,2000,TX,0110110|0000000000000011101001010,4,1,2000,0,28,FASTEST
ALL,447.344576010,2000,TX,0110110|0000000000000011101001011,4,1,2000,0,28,FASTEST
ALL,492.427008010,2000,TX,0110110|0000000000000011101001000,4,1,2000,0,28,FASTEST
ALL,502.550912010,2000,TX,0110110|0000000000000011101001010,4,1,2000,0,28,FASTEST
ALL,507.344576010,2000,TX,0110110|0000000000000011101001011,4,1,2000,0,28,FASTEST
ALL,552.427008010,2000,TX,0110110|0000000000000011101001000,4,1,2000,0,28,FASTEST
ALL,562.550912010,2000,TX,0110110|0000000000000011101001010,4,1,2000,0,28,FASTEST
ALL,567.344576010,2000,TX,0110110|0000000000000011101001011,4,1,2000,0,28,FASTEST
ALL,612.427008010,2000,TX,0110110|0000000000000011101001000,4,1,2000,0,28,FASTEST
